"from","to","combined_score"
"9606.ENSP00000231009","9606.ENSP00000306157",767
"9606.ENSP00000231009","9606.ENSP00000306157",767
"9606.ENSP00000306157","9606.ENSP00000349446",553
"9606.ENSP00000306157","9606.ENSP00000349446",553
"9606.ENSP00000348170","9606.ENSP00000349446",520
"9606.ENSP00000348170","9606.ENSP00000349446",520
"9606.ENSP00000231009","9606.ENSP00000357122",538
"9606.ENSP00000231009","9606.ENSP00000357122",538
"9606.ENSP00000348170","9606.ENSP00000357726",599
"9606.ENSP00000348170","9606.ENSP00000357726",599
"9606.ENSP00000349446","9606.ENSP00000357726",460
"9606.ENSP00000349446","9606.ENSP00000357726",460
"9606.ENSP00000219022","9606.ENSP00000362108",856
"9606.ENSP00000219022","9606.ENSP00000362108",856
"9606.ENSP00000348170","9606.ENSP00000362108",711
"9606.ENSP00000348170","9606.ENSP00000362108",711
"9606.ENSP00000349446","9606.ENSP00000362108",416
"9606.ENSP00000349446","9606.ENSP00000362108",416
"9606.ENSP00000357726","9606.ENSP00000362108",613
"9606.ENSP00000357726","9606.ENSP00000362108",613
