"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa03010","Ribosome",139,-0.607263139136502,-2.98798089247554,1e-10,3.38e-08,2.45263157894737e-08,2888,"tags=64%, list=26%, signal=48%","RPLP1/RPL36/MRPL38/RPL14/MRPS22/MRPL36/MRPS7/MRPL10/RPL36AL/DAP3/RPL12/MRPL4/MRPL49/MRPS35/MRPL35/MRPL46/MRPL54/RPL35A/MRPL40/MRPL2/RPL30/MRPL19/MRPS14/RPL22/RPL10A/MRPL45/MRPL39/RPS27A/MRPL43/MRPS26/MRPS15/RPS3/RPLP2/MRPL20/MRPS5/MRPL51/MRPL3/RPS6/FAU/RPS27/RPL6/RPS14/RPL35/RPS29/MRPS25/RPS16/RPL27/MRPL50/MRPS23/RPS9/RPL8/MRPL32/MRPL30/RPL11/RPL34/RPL15/MRPS18B/MRPS9/RPL29/RPL3/MRPL24/RPL31/RPS24/MRPL48/MRPL11/RPL39/MRPL9/RPL36A/RPL7/RPS18/MRPS30/MRPL1/MRPS10/RPS10/RPS5/RPS17/MRPL42/MRPS11/MRPS31/MRPS33/RPS21/MRPS28/RPS15A/RPLP0/RPS7/RPS23/RSL24D1/RPL9/RPS27L"
"hsa04610","Complement and coagulation cascades",35,0.680762080572942,2.51451732581226,8.18098424078248e-08,1.38258633669224e-05,1.00324701479069e-05,2725,"tags=74%, list=25%, signal=56%","PROS1/SERPING1/CLU/F5/CR1/CD59/C3AR1/PLAUR/F13A1/VSIG4/ITGB2/CR1L/F12/SERPINA1/THBD/VWF/C2/CD46/F2R/CD55/C4BPB/C1QA/ITGAM/C5AR1/ITGAX/MASP1"
"hsa04613","Neutrophil extracellular trap formation",96,0.473705727738092,2.1394700407867,6.87278840081432e-07,7.04176593528744e-05,5.1097211551603e-05,2623,"tags=46%, list=24%, signal=35%","ITGB3/ITGA2B/MPO/CAMP/CR1/SELP/GP1BA/AZU1/TLR2/CLEC7A/MAPK14/TLR8/CLCN3/MAPK1/PADI4/ITGB2/RAC1/CLCN4/CR1L/PIK3R2/ATG7/FPR2/VWF/PLCG2/TLR4/FCGR1A/TLR7/HDAC4/CYBA/MAP2K1/MAPK3/SYK/CASP1/HDAC7/NCF1/NCF4/AQP9/SIGLEC9/SELPLG/FCGR3B/CYBB/ITGAM/C5AR1/FPR1"
"hsa04148","Efferocytosis",117,0.444762137120461,2.0835313891173,9.63685503338905e-07,7.04176593528744e-05,5.1097211551603e-05,2126,"tags=40%, list=19%, signal=33%","ARG1/PROS1/THBS1/ITGB3/ADAM9/ITGB5/PBX1/CD24/ATP11A/SIRPA/SIRPB1/JAK2/MAPK14/EPOR/MAPK1/ALOX15/RAC1/TMEM30A/ADAM10/SLC2A1/SIGLEC10/RXRA/CD36/SCARF1/ALOX5/ATP11B/ANO6/VPS8/CAMK2G/RAB7A/PECAM1/MAP2K1/MAPK3/RAB5C/RAB5A/CASP1/GPR132/P2RY6/RAB14/ATP2A2/TGFB1/PTGER4/LRP1/STAB1/ARG2/ATP8A1/ARNT"
"hsa04621","NOD-like receptor signaling pathway",140,0.423717374349708,2.03808456686125,1.04168135137388e-06,7.04176593528744e-05,5.1097211551603e-05,2789,"tags=49%, list=25%, signal=37%","DEFA4/CAMP/CARD8/OAS3/BCL2L1/NAIP/NLRC4/NLRP3/CARD6/MAPK14/CARD16/MAPK1/CASP5/GBP1/CXCL1/STAT2/MFN2/ANTXR2/TNF/BIRC2/IL18/TANK/TLR4/STAT1/CTSB/NFKBIA/NLRX1/NOD2/PRKCD/IKBKG/GBP2/TAB3/YWHAE/CYBA/JUN/PYCARD/MAPK3/RNASEL/TXN/NLRP12/GBP5/RIPK2/CASP1/MCU/IRF7/MYD88/FADD/MFN1/NAMPT/GBP3/GABARAPL2/P2RX7/IFI16/CHUK/PANX1/CYBB/NFKBIB/TAB2/MAP1LC3B/TBK1/IL1B/MEFV/IFNAR1/NEK7/SHARPIN/RHOA/OAS2/IFNAR2"
"hsa05219","Bladder cancer",32,0.612825397208278,2.22533652226248,2.59893681083002e-05,0.00146406773676758,0.00106237241565508,1505,"tags=44%, list=14%, signal=38%","THBS1/EGF/MMP9/VEGFA/MAPK1/E2F2/BRAF/DAPK1/MDM2/DAPK2/CDKN1A/MAP2K1/TYMP/MAPK3"
"hsa03008","Ribosome biogenesis in eukaryotes",62,-0.473317681766783,-2.01792662344863,4.9063624690914e-05,0.00207293814319112,0.00150418744118197,3694,"tags=61%, list=34%, signal=41%","UTP6/RIOK2/WDR3/AK6/UTP15/NOL6/BMS1/NOB1/CSNK2A1/IMP3/GAR1/TCOF1/NVL/CSNK2A2/RCL1/NXF1/GNL3/NHP2/FCF1/RAN/NAT10/NOP58/NMD3/MDN1/EMG1/HEATR1/MPHOSPH10/GNL2/RPP38/POP1/GTPBP4/LSG1/FBL/UTP14A/POP5/RPP30/WDR36/XPO1"
"hsa03040","Spliceosome",125,-0.37988251770123,-1.83005002276736,4.47359933181074e-05,0.00207293814319112,0.00150418744118197,3746,"tags=49%, list=34%, signal=33%","PRPF6/HNRNPA1/PRPF40A/SNW1/PRPF8/USP39/WBP11/HNRNPM/ALYREF/SF3B5/LSM4/DDX42/NCBP2/PPIH/XAB2/PRPF3/PRPF4/CTNNBL1/SRSF5/TRA2B/U2SURP/U2AF1L4/SNRNP70/AQR/SNRPD3/U2AF1/LSM7/PLRG1/SNRPF/HNRNPA3/RBM17/PRPF38A/PPIL1/CWC15/HNRNPC/LSM2/SNRPD1/SF3B3/THOC2/SNRPE/SF3B1/DHX15/HNRNPU/PRPF38B/RP9/RBMX2/SRSF6/SRSF10/PPIE/SRSF3/SNRPA/LSM5/SNRPA1/THOC1/SF1/FUS/SNRNP200/TRA2A/SNRPD2/SNRNP40/SRSF7"
"hsa05134","Legionellosis",46,0.540471486560614,2.14202436175247,8.85602783874142e-05,0.0029933374094946,0.00217205735413342,2018,"tags=52%, list=18%, signal=43%","CR1/NAIP/TLR2/NLRC4/CLK4/ITGB2/CXCL1/TLR5/CD14/CR1L/TNF/IL18/TLR4/CASP9/HSPA1L/NFKBIA/BCL2L13/HSPA6/RAB1B/PYCARD/RAB1A/CASP1/MYD88/APAF1"
"hsa05340","Primary immunodeficiency",32,-0.57244310539134,-2.07681187435535,8.14476300739704e-05,0.0029933374094946,0.00217205735413342,1369,"tags=47%, list=12%, signal=41%","BLNK/ZAP70/CD79A/CIITA/CD19/ICOS/CD40/CD8B/LCK/DCLRE1C/ADA/CD40LG/CD3D/CD8A/IL7R"
