"gene","STRING_id"
"GZMK","9606.ENSP00000231009"
"PFKFB2","9606.ENSP00000356047"
"GRB10","9606.ENSP00000493728"
"IL7R","9606.ENSP00000306157"
"PYHIN1","9606.ENSP00000357122"
"TDRD9","9606.ENSP00000387303"
"WDR61","9606.ENSP00000453801"
"MARC1","9606.ENSP00000355877"
"HP","9606.ENSP00000348170"
"LCN2","9606.ENSP00000362108"
"PLEKHA1","9606.ENSP00000357986"
"KLF12","9606.ENSP00000366897"
"DCAF16","9606.ENSP00000371682"
"S100A12","9606.ENSP00000357726"
"ARG1","9606.ENSP00000349446"
"APCDD1","9606.ENSP00000347433"
"NRG1","9606.ENSP00000287842"
"SYTL2","9606.ENSP00000318803"
"TPST1","9606.ENSP00000302413"
"OLFM4","9606.ENSP00000219022"
