"Feature","Gain","Cover","Frequency","Gene Symbol","Gene Title","ENTREZ_GENE_ID","logFC","P.Value","adj.P.Val"
"206848_at",0.0834866476136321,0.0712077882404428,0.0457142857142857,"COX20","COX20 cytochrome C oxidase assembly factor","116228",-0.292395785541383,5.9284547170884e-06,0.00960865696639987
"211211_x_at",0.0617452034081028,0.0471161597362923,0.0228571428571429,"SH2D1A","SH2 domain containing 1A","4068",-0.236651896144772,1.21557086490503e-05,0.0168816619308429
"227232_at",0.056980115169853,0.0396966861120904,0.0228571428571429,"EVL","Enah/Vasp-like","51466",-0.275420784638288,4.06379647942505e-06,0.00844988327964142
"209954_x_at",0.0526224130309987,0.0394222025310839,0.0228571428571429,"SS18","synovial sarcoma translocation, chromosome 18","6760",-0.209627581148161,1.95448244728387e-06,0.00703593180187365
"220570_at",0.0364425452136003,0.0356180945701502,0.0266666666666667,"RETN","resistin","56729",0.248423070062103,1.17166573656163e-06,0.00703593180187365
"201785_at",0.0315668919328765,0.0385079033528302,0.0285714285714286,"RNASE1","ribonuclease, RNase A family, 1 (pancreatic)","6035",0.297004117771487,0.000383981798385553,0.0558032902804294
"216451_at",0.0301133432383342,0.0342161203151994,0.0342857142857143,"STK38","serine/threonine kinase 38","11329",-0.192509752400509,3.38391996438178e-05,0.0223099367212693
"227558_at",0.0277193896162963,0.0320268555809067,0.0342857142857143,"CBX4","chromobox homolog 4","8535",0.165403538322775,0.000145383246533414,0.0397009725624912
"235697_at",0.0213066972757134,0.0158878219143791,0.0133333333333333,"","","",-0.229667788759907,0.000133657832719932,0.0385716128415074
"217464_at",0.0198839661430119,0.0145739593376087,0.0133333333333333,"","","",-0.146613221936106,0.000355178539988294,0.0539345686066497
"229671_s_at",0.0194537129640423,0.0239988480562139,0.019047619047619,"MIS18A","MIS18 kinetochore protein A","54069",-0.23436671156158,0.00027161633601194,0.0496275561211014
"216384_x_at",0.0193676701116171,0.0180306197078296,0.0114285714285714,"LOC100506248 /// LOC728026 /// MIR1244-1 /// MIR1244-2 /// MIR1244-3 /// PTMA","prothymosin alpha-like /// prothymosin alpha-like /// microRNA 1244-1 /// microRNA 1244-2 /// microRNA 1244-3 /// prothymosin, alpha","5757 /// 728026 /// 100302285 /// 100422872 /// 100422885 /// 100506248",-0.102585880660376,0.000102358158429609,0.036821947517259
"206090_s_at",0.0184725724026011,0.0219121193380503,0.0266666666666667,"DISC1 /// TSNAX-DISC1","disrupted in schizophrenia 1 /// TSNAX-DISC1 readthrough (NMD candidate)","27185 /// 100303453",0.220884328926746,0.000376407551334653,0.0549982298385243
"237299_at",0.0184432760315078,0.0195040706045228,0.019047619047619,"NARF","nuclear prelamin A recognition factor","26502",0.364221184874686,0.000401133459567118,0.055898207469101
"227957_at",0.018043260095561,0.0266569687483345,0.0266666666666667,"GSN","gelsolin","2934",0.218033620469204,2.98000085019975e-05,0.0201381007454373
"211209_x_at",0.0176140427914044,0.01665497343149,0.0152380952380952,"SH2D1A","SH2 domain containing 1A","4068",-0.251014337053516,3.032725756806e-06,0.00745250999383846
"226733_at",0.0158861555295291,0.0179078664469451,0.0152380952380952,"PFKFB2","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2","5208",0.360717780694177,2.91412340646897e-06,0.00745250999383846
"1556151_at",0.0157459575997242,0.0262319087316158,0.0247619047619048,"ITFG1","integrin alpha FG-GAP repeat containing 1","81533",0.176820402833087,7.53759048477085e-05,0.0327635123065726
"205633_s_at",0.0149867529308205,0.0152372925708406,0.0133333333333333,"ALAS1","aminolevulinate, delta-, synthase 1","211",0.178188643224272,0.000243923856343691,0.0474352932433547
"222043_at",0.0138364580185579,0.0127351427631895,0.0133333333333333,"CLU","clusterin","1191",0.282425536051325,0.00036314200312272,0.0539345686066497
"201736_s_at",0.0137836181015761,0.0137793870178458,0.00952380952380952,"MARCH6","membrane-associated ring finger (C3HC4) 6, E3 ubiquitin protein ligase","10299",0.126328175878211,0.000350685558070643,0.0539345686066497
"225016_at",0.013337459379621,0.00780876165856389,0.00571428571428571,"APCDD1","adenomatosis polyposis coli down-regulated 1","147495",0.315032385587043,0.000161063959369477,0.0406889708945451
"1556055_at",0.0127696923884558,0.0104281677282351,0.00761904761904762,"","","",0.201983727435902,0.000103486754155479,0.036821947517259
"213698_at",0.0112918389803448,0.00945947628636742,0.0152380952380952,"ZMYM6 /// ZMYM6NB","zinc finger, MYM-type 6 /// ZMYM6 neighbor","9204 /// 100506144",-0.168457120201194,4.94686628309411e-05,0.0257693121467378
"206666_at",0.0109680359599234,0.0119591296643149,0.0133333333333333,"GZMK","granzyme K (granzyme 3; tryptase II)","3003",-0.406909967631248,5.9375149787842e-07,0.0055489050314772
"217959_s_at",0.0105254621660506,0.0115302596371329,0.0152380952380952,"MIR3656 /// TRAPPC4","microRNA 3656 /// trafficking protein particle complex 4","51399 /// 100500840",-0.12225645088791,0.0003417403568703,0.0539345686066497
"200663_at",0.0104775681220711,0.0181154842268974,0.0152380952380952,"CD63","CD63 molecule","967",0.139927904357551,0.000288743532031864,0.051013244538257
"232033_at",0.010343256937198,0.0125062634496062,0.0133333333333333,"USP37","ubiquitin specific peptidase 37","57695",-0.143409224482843,0.000369831739912479,0.0543310965302946
"1554239_s_at",0.00972608501282337,0.0087756228550107,0.00952380952380952,"ZADH2","zinc binding alcohol dehydrogenase domain containing 2","284273",-0.224344719122398,4.38857308628104e-05,0.0252398976798432
"225330_at",0.00854525354122448,0.0137342947181323,0.0114285714285714,"IGF1R","insulin-like growth factor 1 receptor","3480",0.228392628897572,0.000256614993116744,0.0485074117408301
"1560963_a_at",0.00831485209054647,0.00978614064967323,0.0133333333333333,"LOC100506379","uncharacterized LOC100506379","100506379",-0.279531120585241,4.6878460693945e-05,0.0257693121467378
"230267_at",0.00810339684742936,0.00532864916436091,0.00571428571428571,"RP11-173M1.8","","",0.290420005366758,2.06936367186037e-05,0.0178987091029274
"235927_at",0.0079871745549405,0.0114458687273379,0.00952380952380952,"XPO1","exportin 1","7514",-0.210506767669748,3.47318734256467e-05,0.0223532683468727
"210479_s_at",0.00791114878364924,0.00874326085941757,0.00952380952380952,"RORA","RAR-related orphan receptor A","6095",-0.273034429952327,1.73872217712437e-06,0.00703593180187365
"1559425_at",0.0073454695666929,0.0104631514055708,0.0133333333333333,"","","",-0.226837088654949,0.00027377375735521,0.0496275561211014
"202934_at",0.00721579807083049,0.00724197582834347,0.00952380952380952,"HK2","hexokinase 2","3099",0.238619595802139,2.75604077351079e-05,0.0196663260882338
"217958_at",0.00706143097604164,0.00495142681548697,0.00571428571428571,"MIR3656 /// TRAPPC4","microRNA 3656 /// trafficking protein particle complex 4","51399 /// 100500840",-0.141116064446072,3.40967211347306e-06,0.00768057057494086
"212531_at",0.00677643663349107,0.0061752276963937,0.00380952380952381,"LCN2","lipocalin 2","3934",0.696061614409086,7.24850942982518e-05,0.0327635123065726
"208744_x_at",0.00672097784184385,0.00359145113488474,0.00380952380952381,"HSPH1","heat shock 105kDa/110kDa protein 1","10808",-0.276855396993325,2.53738367834982e-05,0.0195965766312783
"213817_at",0.00636141424811206,0.00302707073093328,0.0019047619047619,"IRAK3","interleukin-1 receptor-associated kinase 3","11213",0.398381137538598,0.000401178359994288,0.055898207469101
"228408_s_at",0.00605229203470936,0.00293115604642544,0.00761904761904762,"SDAD1","SDA1 domain containing 1","55153",-0.194341731373423,0.000201038503720357,0.0460531507971608
"240327_at",0.00594998480310663,0.00820681498718464,0.00761904761904762,"","","",-0.268872131203266,0.000279497235222984,0.0500337070550496
"206697_s_at",0.00593590663486043,0.00796032053995741,0.00952380952380952,"HP","haptoglobin","3240",0.468606312114749,6.86381245278099e-05,0.0327635123065726
"224580_at",0.00552951692112765,0.00576008490128054,0.00761904761904762,"SLC38A1","solute carrier family 38, member 1","81539",-0.188059912038997,0.000392133292367885,0.055898207469101
"204970_s_at",0.00536514018518973,0.00394774817356995,0.00571428571428571,"MAFG","v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog G","4097",0.270505879413215,6.15837930318213e-07,0.0055489050314772
"200032_s_at",0.00529743060003553,0.00482473946633793,0.0019047619047619,"RPL9","ribosomal protein L9","6133",-0.252933103442009,0.000275392453781407,0.0496275561211014
"228285_at",0.0050736867911807,0.0069625377463667,0.00761904761904762,"TDRD9","tudor domain containing 9","122402",0.478986082486734,1.51630469137783e-05,0.0178205357011452
"219024_at",0.00494912713721329,0.00167985275333495,0.0019047619047619,"PLEKHA1","pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1","59338",-0.351184222694622,7.87846657514417e-05,0.0327635123065726
"210714_at",0.00489777750642659,0.00485793243092773,0.00761904761904762,"R3HDM1","R3H domain containing 1","23518",-0.282399304336663,0.000131537366085245,0.0385716128415074
"232645_at",0.00470142600485123,0.00409836492478213,0.00380952380952381,"LOC153684","uncharacterized LOC153684","153684",-0.258858706321197,2.71418217620076e-05,0.0196663260882338
"1558027_s_at",0.00457679738794737,0.00548445526411656,0.00952380952380952,"PRKAB2","protein kinase, AMP-activated, beta 2 non-catalytic subunit","5565",-0.270323445851174,0.000358764999388542,0.0539345686066497
"235352_at",0.00452755355902505,0.00296023761283297,0.00380952380952381,"MR1","major histocompatibility complex, class I-related","3140",0.234303823968947,0.000178924893409139,0.0418958326283657
"219006_at",0.0044759978978888,0.0044595409218015,0.00380952380952381,"NDUFAF4","NADH dehydrogenase (ubiquinone) complex I, assembly factor 4","29078",-0.210158845336993,0.000356259883920645,0.0539345686066497
"210426_x_at",0.00441021412419639,0.00313813856369211,0.00380952380952381,"RORA","RAR-related orphan receptor A","6095",-0.244385402775602,1.46747468604903e-06,0.00703593180187365
"205863_at",0.00440055158695566,0.00317630970971576,0.00380952380952381,"S100A12","S100 calcium binding protein A12","6283",0.308893492161236,0.000100559687655515,0.036821947517259
"222639_s_at",0.00438540749780379,0.00538207933574983,0.00761904761904762,"LOC101928290 /// LOC101928317","uncharacterized LOC101928290 /// uncharacterized LOC101928317","101928290 /// 101928317",0.267297383465296,0.000130868281460761,0.0385716128415074
"218454_at",0.0043198137298782,0.00305464379309532,0.0019047619047619,"PLBD1","phospholipase B domain containing 1","79887",0.196309635301014,6.95846301723907e-05,0.0327635123065726
"206804_at",0.0042997060262217,0.00263384254141115,0.00380952380952381,"CD3G","CD3g molecule, gamma (CD3-TCR complex)","917",-0.237209752343878,0.000265912025141981,0.0496275561211014
"206237_s_at",0.00424356075289591,0.00520444650253681,0.00761904761904762,"NRG1","neuregulin 1","3084",0.380159994213752,0.000166149752666221,0.0408024481007032
"215921_at",0.0041493153171792,0.00389561122948436,0.00571428571428571,"NPIPA5 /// NPIPB3 /// NPIPB6 /// NPIPB8","nuclear pore complex interacting protein family, member A5 /// nuclear pore complex interacting protein family, member B3 /// nuclear pore complex interacting protein family, member B6 /// nuclear pore complex interacting protein family, member B8","23117 /// 728734 /// 728741 /// 100288332",-0.302238624898597,7.04535549442897e-05,0.0327635123065726
"212768_s_at",0.00396458936423058,0.00403643640254273,0.00380952380952381,"OLFM4","olfactomedin 4","10562",1.01155804795146,0.000239302794101241,0.0472972666516238
"228180_at",0.00381543884343108,0.00487036173874171,0.00571428571428571,"","","",-0.232618906300307,0.000349435142180672,0.0539345686066497
"230559_x_at",0.00375743185697447,0.00468823509721465,0.00571428571428571,"FGD4","FYVE, RhoGEF and PH domain containing 4","121512",0.315990470342996,0.000329651749391475,0.0539345686066497
"219759_at",0.00367246122082677,0.00248495955240844,0.00571428571428571,"ERAP2","endoplasmic reticulum aminopeptidase 2","64167",-0.259816289904567,0.000309051987140764,0.0530911254552978
"206559_x_at",0.00366175737186101,0.00545803217223817,0.00380952380952381,"","","",-0.0802089892532378,1.94099122288512e-05,0.0178987091029274
"224610_at",0.00360853000336075,0.0018360488957685,0.0019047619047619,"SNHG1 /// SNORD22 /// SNORD25 /// SNORD26 /// SNORD27 /// SNORD28 /// SNORD29 /// SNORD30 /// SNORD31","small nucleolar RNA host gene 1 (non-protein coding) /// small nucleolar RNA, C/D box 22 /// small nucleolar RNA, C/D box 25 /// small nucleolar RNA, C/D box 26 /// small nucleolar RNA, C/D box 27 /// small nucleolar RNA, C/D box 28 /// small nucleolar RNA, C/D box 29 /// small nucleolar RNA, C/D box 30 /// small nucleolar RNA, C/D box 31","9297 /// 9298 /// 9299 /// 9300 /// 9301 /// 9302 /// 9303 /// 9304 /// 23642",-0.160589610868774,0.000340566399585891,0.0539345686066497
