"gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant"
"238968_at",-0.42649386544989,7.3930408592616,-5.33619462369875,2.63321604754161e-07,0.0107977657245491,6.07357245412408,"Down in MDD"
"206666_at",-0.414438399144856,9.42951292126704,-5.1035334214621,7.91957032964589e-07,0.0115226604477327,5.13786686261957,"Down in MDD"
"226733_at",0.379493695244506,6.73917224481006,5.09011648854127,8.42998130595474e-07,0.0115226604477327,5.08483380578217,"Up in MDD"
"220570_at",0.263262094105996,5.79118102854938,5.02644753309374,1.13204417642046e-06,0.0116051508745743,4.83457295141488,"Up in MDD"
"209409_at",0.35894329289689,7.76836466330646,4.78617474534331,3.36306297181031e-06,0.0275811520444107,3.91141387926121,"Up in MDD"
"1562682_at",-0.354291246309407,6.78628816957306,-4.70330032277255,4.85274911744567e-06,0.0331653050516629,3.60097450831992,"Down in MDD"
"231688_at",0.757540574397439,4.9217197825043,4.62606622540122,6.80131459605152e-06,0.0398421009036698,3.31542849633814,"Up in MDD"
"228285_at",0.504559312006793,6.75027662381765,4.54839556781491,9.51147858134637e-06,0.0487534613383362,3.03197948974768,"Up in MDD"
"223832_s_at",0.299456195875651,4.00194489996186,4.47712580067117,1.28918570397006e-05,0.0587381655299958,2.77520349905001,"Not significant"
"216748_at",-0.316902118048827,8.29202875549947,-4.41194233501878,1.69732650656366e-05,0.0660598657374586,2.54316371094598,"Not significant"
"218865_at",0.348715993603515,8.40484108320464,4.40166410257012,1.77207853268313e-05,0.0660598657374586,2.50682203592362,"Not significant"
"242633_x_at",-0.154564505745038,9.75994648915386,-4.37314808648726,1.99638772054895e-05,0.068219895724025,2.40634916615052,"Not significant"
"235927_at",-0.215210626666766,8.18670572670381,-4.30362113069117,2.66322644569466e-05,0.0840063566401193,2.16357099620336,"Not significant"
"237208_at",-0.396285046871297,5.2508555574512,-4.27147725713151,3.03928960533128e-05,0.0869762953317359,2.05238698949133,"Not significant"
"227957_at",0.224790463186523,5.19242100826326,4.26029977649806,3.18159398618748e-05,0.0869762953317359,2.01388227128826,"Not significant"
"242794_at",0.283575347494203,7.98122726695712,4.19762549297902,4.10542375584813e-05,0.0997837019670322,1.79949339548546,"Not significant"
"215769_at",-0.213089796684082,3.68951235022282,-4.1957449311995,4.13676762776069e-05,0.0997837019670322,1.79310045865577,"Not significant"
"240893_at",0.231481984268514,4.45543100844447,4.14937885625833,4.98600341562829e-05,0.112277350020269,1.63621843561541,"Not significant"
"212531_at",0.723048888961871,8.07902051150099,4.12708382792899,5.45137313533076e-05,0.112277350020269,1.56128922483276,"Not significant"
"206697_s_at",0.493230077223165,7.66191217712241,4.12594874870049,5.47614251671797e-05,0.112277350020269,1.55748328733926,"Not significant"
